"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Keria","T1","Support",13,"69%","62%",14,35,145,4.5,"81.1%","7.1%","24.1%","85%",259,83,-3.2,1,"2.2%",241,"9.4%","8.1%",134,"10.6%",0,2.07,0.61,0.34
"Kiin","Gen.G","Top",11,"64%","73%",39,30,69,3.6,"65.1%","23.5%","20.4%","9%",276,279,8,7.7,"22.8%",662,"21.7%","21.3%",268,"21.4%",0,0.4,0.19,0.24
"Kingen","Nongshim RedForce","Top",9,"33%","78%",25,26,47,2.8,"64.9%","22.5%","18.7%","33%",-33,26,1.1,7.8,"25.7%",648,"24.7%","23.6%",257,"22.9%",1,0.36,0.23,0.21
"LazyFeel","DRX","ADC",11,"55%","45%",38,30,51,3,"65.9%","28.1%","20.4%","27%",-431,-167,-6.1,9.3,"31.2%",572,"24.7%","26.1%",291,"25.3%",0,0.36,0.1,0.31
"Lehends","Nongshim RedForce","Support",9,"33%","56%",13,37,60,2,"65.8%","11.7%","26.6%","56%",-165,25,3.2,1.1,"2.0%",175,"6.7%","6.1%",110,"9.7%",0,2.03,0.63,0.34
"Life","DN Freecs","Support",13,"31%","23%",6,43,104,2.6,"78.6%","4.3%","25.7%","23%",-17,-10,0.8,1,"2.2%",201,"8.2%","7.5%",104,"9.5%",0,1.84,0.51,0.4
"Lucid","Dplus KIA","Jungle",14,"71%","29%",51,26,108,6.1,"74.0%","23.7%","19.1%","21%",171,234,5.2,6.5,"18.9%",440,"15.9%","17.1%",240,"20.2%",4,0.35,0.33,0.35
"Morgan","OKSavingsBank BRION","Top",12,"33%","25%",43,36,62,2.9,"62.1%","25.4%","20.0%","8%",37,-54,-3.4,8.1,"26.1%",473,"19.3%","18.5%",269,"23.5%",0,0.39,0.24,0.25
"Oner","T1","Jungle",13,"69%","69%",51,28,92,5.1,"73.0%","26.0%","19.3%","62%",182,48,2.4,6.7,"18.2%",515,"19.1%","21.9%",254,"20.3%",1,0.3,0.24,0.38
"Peanut","Hanwha Life Esports","Jungle",11,"64%","73%",24,25,91,4.6,"69.3%","14.5%","19.8%","36%",75,70,0.7,6.1,"17.2%",403,"15.6%","16.8%",223,"18.6%",1,0.33,0.26,0.43
"PerfecT","KT Rolster","Top",13,"54%","62%",30,30,63,3.1,"55.4%","17.9%","16.0%","8%",-41,-18,1.5,7.9,"23.8%",518,"20.8%","20.3%",247,"21.2%",0,0.46,0.24,0.17
"Pollu","OKSavingsBank BRION","Support",12,"33%","50%",5,46,131,3,"80.5%","3.0%","25.6%","50%",-28,-196,0.4,0.8,"1.5%",174,"6.8%","6.0%",105,"9.1%",0,1.95,0.58,0.36
"Pungyeon","DN Freecs","Middle",2,"0%","50%",2,5,5,1.4,"87.5%","25.0%","15.2%","50%",59,-53,2.5,8.6,"25.2%",728,"33.2%","32.2%",216,"24.3%",0,0.39,0.25,0.14
"Pyosik","DN Freecs","Jungle",13,"31%","54%",20,35,90,3.1,"78.6%","14.3%","21.0%","31%",-257,-337,-8,5.9,"16.7%",350,"14.0%","14.9%",194,"18.1%",0,0.38,0.34,0.3
"Raptor","BNK FEARX","Jungle",11,"27%","64%",27,44,59,2,"65.6%","20.6%","22.2%","18%",-341,-290,-7.2,5.5,"16.1%",429,"16.0%","17.1%",196,"18.1%",1,0.33,0.27,0.29
"Rich","DRX","Top",13,"46%","38%",27,40,54,2,"52.6%","17.5%","20.6%","8%",-223,-62,-4.9,7,"20.9%",518,"21.8%","21.0%",221,"19.5%",0,0.37,0.08,0.18
"Ruler","Gen.G","ADC",11,"64%","27%",52,27,62,4.2,"68.7%","31.3%","18.4%","27%",2,114,5.5,9.6,"31.0%",812,"27.9%","28.8%",330,"26.5%",0,0.43,0.18,0.39
"ShowMaker","Dplus KIA","Middle",14,"71%","71%",56,21,100,7.4,"72.6%","26.0%","15.4%","14%",52,-55,0.4,8.1,"23.3%",650,"24.4%","23.5%",272,"22.6%",0,0.4,0.21,0.25
"Siwoo","Dplus KIA","Top",14,"71%","57%",39,34,89,3.8,"59.5%","18.1%","25.0%","7%",-114,-315,-6.5,7.4,"24.4%",584,"21.3%","20.5%",247,"20.6%",0,0.32,0.11,0.17
"Smash","T1","ADC",8,"75%","50%",50,9,41,10.1,"71.7%","39.4%","11.3%","88%",316,-330,-0.9,9.9,"31.9%",763,"27.7%","28.2%",348,"26.9%",0,0.41,0.14,0.38
"Sponge","DRX","Jungle",13,"46%","46%",43,42,65,2.6,"70.1%","27.9%","21.6%","23%",72,86,3,6.5,"17.9%",447,"18.9%","19.6%",232,"20.5%",3,0.31,0.27,0.35
"Teddy","DRX","ADC",2,"0%","50%",2,8,7,1.1,"47.4%","10.5%","17.0%","0%",-694,-571,-8,8.9,"30.6%",718,"26.2%","28.0%",253,"24.8%",0,0.47,0.15,0.24
"Ucal","DRX","Middle",13,"46%","54%",39,23,69,4.7,"70.1%","25.3%","11.9%","31%",-119,-87,-1.3,9,"27.9%",637,"26.7%","26.1%",290,"25.7%",0,0.25,0.1,0.23
"VicLa","BNK FEARX","Middle",11,"27%","45%",24,43,64,2,"67.2%","18.3%","21.7%","18%",-46,8,-2.8,8.1,"25.1%",695,"26.6%","25.6%",250,"23.2%",0,0.46,0.23,0.25
"Viper","Hanwha Life Esports","ADC",11,"64%","55%",69,13,58,9.8,"76.5%","41.6%","10.3%","36%",209,164,6.2,9.6,"32.2%",810,"32.2%","34.2%",339,"27.4%",0,0.45,0.12,0.32
"Way","KT Rolster","Support",13,"54%","77%",13,54,115,2.4,"76.2%","7.7%","28.9%","31%",-17,168,-1.3,1,"1.9%",198,"7.9%","7.0%",116,"9.8%",0,1.78,0.58,0.38
"Zeka","Hanwha Life Esports","Middle",11,"64%","45%",38,28,65,3.7,"62.0%","22.9%","22.2%","18%",105,7,0.6,8.6,"24.4%",647,"25.0%","23.7%",271,"22.7%",0,0.43,0.2,0.27
"Zeus","Hanwha Life Esports","Top",11,"64%","55%",22,31,68,2.9,"54.2%","13.3%","24.6%","0%",11,-24,-0.9,7.6,"23.7%",486,"19.2%","18.2%",251,"20.6%",0,0.38,0.19,0.15
