"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Hans Sama","G2 Esports","ADC",9,"78%","22%",47,20,51,4.9,"68.5%","32.9%","16.8%","33%",178,311,10.2,9.3,"27.8%",832,"30.4%","32.2%",342,"26.0%",1,0.41,0.12,0.31
"Humanoid","Fnatic","Middle",9,"67%","67%",22,23,59,3.5,"68.6%","18.6%","24.0%","0%",-148,13,3.1,8.8,"25.6%",679,"28.3%","28.0%",286,"23.3%",0,0.33,0.04,0.23
"Hylissang","Team Vitality","Support",10,"20%","70%",6,56,58,1.1,"63.4%","5.9%","35.2%","20%",117,212,6.6,1.8,"3.8%",172,"7.7%","6.5%",114,"10.0%",0,1.36,0.33,0.32
"Ice","Team BDS","ADC",9,"89%","44%",33,7,63,13.7,"72.2%","24.8%","7.9%","22%",-258,3,-5.9,9.8,"30.4%",581,"26.5%","28.5%",338,"25.6%",0,0.54,0.13,0.62
"IgNar","GiantX","Support",9,"33%","56%",3,19,61,3.4,"62.1%","2.9%","17.4%","11%",-34,47,2.6,1.6,"4.0%",109,"4.8%","4.5%",106,"9.6%",0,1.88,0.56,0.44
"Irrelevant","SK Gaming","Top",9,"89%","44%",31,23,62,4,"58.1%","19.4%","20.9%","0%",94,124,7,7.5,"21.4%",604,"23.1%","21.3%",264,"20.5%",0,0.37,0.23,0.26
"ISMA","SK Gaming","Jungle",9,"89%","56%",24,26,89,4.3,"70.6%","15.0%","23.6%","33%",153,42,4.7,5.5,"14.6%",386,"14.4%","14.9%",210,"16.3%",1,0.38,0.29,0.38
"Jackies","GiantX","Middle",9,"33%","56%",40,24,38,3.3,"75.7%","38.8%","22.0%","33%",52,147,1.6,9.6,"30.3%",802,"35.3%","37.5%",315,"28.4%",0,0.42,0.14,0.27
"Jankos","Team Heretics","Jungle",9,"33%","67%",14,26,77,3.5,"80.5%","12.4%","20.6%","44%",-206,-164,-5.2,5.7,"15.9%",377,"16.5%","17.3%",200,"18.4%",0,0.5,0.26,0.41
"Juhan","GiantX","Jungle",9,"33%","11%",12,27,58,2.6,"68.0%","11.7%","24.8%","22%",-181,-187,-0.8,5.7,"16.3%",280,"12.3%","11.9%",186,"16.8%",0,0.56,0.37,0.55
"Jun","Fnatic","Support",9,"67%","44%",2,21,82,4,"71.2%","1.7%","21.9%","22%",-223,-187,-23,1,"2.1%",167,"7.0%","5.3%",116,"9.5%",0,1.86,0.48,0.38
"Labrov","Team BDS","Support",9,"89%","33%",10,29,89,3.4,"74.4%","7.5%","32.6%","11%",187,76,7.1,1.7,"3.9%",132,"6.0%","5.7%",136,"10.3%",0,1.6,0.48,0.42
"Larssen","Rogue","Middle",10,"20%","50%",35,19,36,3.7,"72.4%","35.7%","13.8%","10%",256,113,4.5,9.9,"30.5%",588,"27.1%","26.3%",309,"28.0%",0,0.35,0.08,0.2
"Luon","SK Gaming","Support",9,"89%","78%",11,24,117,5.3,"80.0%","6.9%","21.8%","22%",104,0,-1.6,1,"2.2%",177,"6.8%","6.4%",133,"10.2%",0,2.04,0.52,0.43
"Lyncas","Team Vitality","Jungle",10,"20%","20%",14,23,67,3.5,"80.2%","13.9%","14.5%","40%",-27,-54,-2.5,5.8,"15.7%",342,"15.3%","17.2%",201,"17.5%",0,0.39,0.25,0.26
"Markoon","Rogue","Jungle",10,"20%","60%",17,20,60,3.9,"78.6%","17.3%","14.5%","30%",-30,20,-1.1,5.5,"14.3%",345,"16.1%","19.1%",188,"16.9%",0,0.35,0.26,0.45
"Mikyx","G2 Esports","Support",9,"78%","44%",8,38,103,2.9,"77.6%","5.6%","31.9%","44%",-192,-217,-7.4,1,"2.4%",226,"8.3%","7.5%",132,"10.1%",0,2.28,0.49,0.47
"Myrwn","MAD Lions KOI","Top",11,"36%","45%",23,42,51,1.8,"55.6%","17.3%","26.8%","9%",-62,47,-3,7.7,"22.2%",469,"20.8%","18.0%",243,"20.8%",0,0.37,0.11,0.22
"Nisqy","SK Gaming","Middle",9,"89%","56%",48,21,67,5.5,"71.9%","30.0%","19.1%","22%",20,-18,-3.8,9,"28.5%",734,"27.6%","27.6%",339,"26.3%",0,0.52,0.22,0.26
"Noah","Fnatic","ADC",9,"67%","56%",47,12,44,7.6,"77.1%","39.8%","12.5%","22%",613,356,31.4,9.9,"32.3%",751,"30.7%","33.6%",342,"27.7%",0,0.46,0.09,0.35
"nuc","Team BDS","Middle",9,"89%","67%",32,17,46,4.6,"58.6%","24.1%","19.1%","11%",1,58,-0.2,9.1,"24.9%",586,"26.2%","26.4%",306,"23.0%",0,0.42,0.24,0.32
"Oscarinin","Fnatic","Top",9,"67%","56%",27,19,54,4.3,"68.6%","22.9%","19.8%","11%",-96,-67,0.9,8,"23.3%",501,"19.7%","18.3%",266,"21.7%",0,0.27,0.12,0.17
"Patrik","GiantX","ADC",9,"33%","78%",34,13,38,5.5,"69.9%","33.0%","11.9%","22%",-49,-107,-3.9,8.6,"29.4%",643,"27.6%","28.8%",287,"25.8%",0,0.51,0.12,0.39
"Photon","Team Vitality","Top",10,"20%","30%",25,23,30,2.4,"54.5%","24.8%","14.5%","30%",149,-118,4.9,8.6,"26.7%",506,"22.4%","19.6%",278,"24.5%",0,0.38,0.17,0.23
"Rahel","SK Gaming","ADC",9,"89%","44%",46,16,63,6.8,"68.1%","28.8%","14.5%","33%",17,117,2.2,10.2,"33.4%",743,"28.1%","29.9%",348,"26.7%",0,0.42,0.18,0.4
"Razork","Fnatic","Jungle",9,"67%","56%",20,21,71,4.3,"77.1%","16.9%","21.9%","22%",-163,22,-0.9,6.2,"16.6%",364,"14.4%","14.9%",221,"17.8%",2,0.34,0.23,0.46
"Sheo","Team BDS","Jungle",9,"89%","44%",33,19,72,5.5,"78.9%","24.8%","21.3%","33%",375,238,5.7,7.2,"20.2%",466,"21.2%","22.2%",278,"21.1%",2,0.62,0.2,0.46
"Supa","MAD Lions KOI","ADC",11,"36%","73%",51,22,40,4.1,"68.4%","38.3%","14.0%","45%",205,-13,1.4,9.2,"28.7%",731,"31.9%","35.3%",311,"26.5%",0,0.42,0.1,0.42
"Targamas","Karmine Corp","Support",9,"44%","33%",0,24,68,2.8,"74.7%","0.0%","26.4%","22%",-20,63,6.8,1.6,"4.2%",157,"7.8%","7.7%",101,"9.2%",0,1.84,0.43,0.45
"Th3Antonio","GiantX","Top",9,"33%","56%",14,26,57,2.7,"68.9%","13.6%","23.9%","11%",-352,-138,-5.7,7,"20.0%",471,"20.0%","17.2%",215,"19.4%",0,0.36,0.18,0.2
"Trymbi","Team Heretics","Support",9,"33%","44%",3,33,82,2.6,"75.2%","2.7%","26.2%","33%",-135,206,3.2,1.1,"2.2%",155,"7.0%","5.9%",103,"9.1%",0,1.49,0.37,0.46
"Upset","Karmine Corp","ADC",9,"44%","44%",40,10,29,6.9,"75.8%","44.0%","11.0%","22%",-124,-215,-9.8,9.7,"30.8%",714,"33.4%","37.0%",308,"27.4%",0,0.52,0.1,0.43
"Vetheo","Team Vitality","Middle",10,"20%","60%",22,29,30,1.8,"51.5%","21.8%","18.2%","40%",145,24,1.6,9.3,"28.8%",500,"22.4%","21.9%",275,"24.3%",0,0.49,0.17,0.42
"Vladi","Karmine Corp","Middle",9,"44%","33%",24,16,40,4,"70.3%","26.4%","17.6%","0%",-162,-38,-4,9.6,"29.5%",547,"26.4%","27.9%",287,"25.8%",1,0.51,0.23,0.16
"Wunder","Team Heretics","Top",9,"33%","44%",16,28,50,2.4,"58.4%","14.2%","22.2%","11%",-38,49,-0.4,7.3,"21.0%",501,"21.8%","20.2%",215,"19.2%",0,0.51,0.17,0.15
"Yike","G2 Esports","Jungle",9,"78%","67%",23,20,88,5.6,"77.6%","16.1%","16.8%","44%",114,-68,-2.9,6.3,"17.8%",471,"15.8%","16.9%",230,"17.7%",3,0.29,0.26,0.39
"Zoelys","Rogue","Support",10,"20%","60%",7,46,53,1.3,"61.2%","7.1%","33.3%","10%",-14,-334,-0.4,1.3,"3.4%",160,"7.7%","7.2%",93,"8.5%",0,1.78,0.38,0.42
"Zwyroo","Team Heretics","Middle",9,"33%","11%",31,19,35,3.5,"58.4%","27.4%","15.1%","11%",-212,-268,-4.4,9.3,"28.8%",579,"24.8%","25.1%",287,"25.1%",0,0.58,0.18,0.35
