"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"GALA","Invictus Gaming","ADC",8,"50%","38%",27,22,41,3.1,"63.0%","25.0%","20.4%",,,,,9.2,,619,"24.2%",,294,"25.2%",,0.27,0.11,0.32
"haichao","LNG Esports","Middle",7,"14%","71%",15,16,28,2.7,"64.2%","22.4%","13.7%",,,,,8.8,,473,"21.2%",,253,"24.5%",,0.38,0.22,0.19
"Hang","Weibo Gaming","Support",7,"86%","71%",8,20,74,4.1,"66.7%","6.5%","23.0%",,,,,1,,183,"7.1%",,141,"10.7%",,1.95,0.57,0.43
"Heng","Oh My God","Jungle",8,"25%","50%",22,23,46,3,"74.7%","24.2%","18.0%",,,,,6.6,,472,"18.8%",,227,"20.8%",,0.36,0.29,0.28
"Hery","Oh My God","Top",8,"25%","50%",16,24,37,2.2,"58.2%","17.6%","18.8%",,,,,7.4,,510,"21.5%",,225,"20.8%",,0.34,0.12,0.12
"Hope","Anyone's Legend","ADC",7,"86%","43%",48,10,72,12,"75.9%","30.4%","10.4%",,,,,9.4,,947,"32.0%",,356,"27.1%",,0.46,0.15,0.3
"HOYA","ThunderTalk Gaming","Top",8,"75%","88%",19,23,65,3.7,"62.2%","14.1%","22.3%",,,,,6.7,,479,"17.4%",,228,"17.9%",,0.51,0.27,0.16
"JackeyLove","Top Esports","ADC",7,"57%","43%",26,18,54,4.4,"76.9%","25.0%","15.4%",,,,,9.5,,727,"26.6%",,303,"25.4%",,0.34,0.12,0.52
"JiaQi","Royal Never Give Up","ADC",8,"50%","38%",35,20,39,3.7,"71.8%","34.0%","19.6%",,,,,8.9,,640,"29.8%",,298,"25.2%",,0.45,0.18,0.3
"Jiejie","Invictus Gaming","Jungle",8,"50%","25%",32,21,50,3.9,"75.9%","29.6%","19.4%",,,,,6.9,,512,"19.0%",,249,"21.2%",,0.33,0.28,0.41
"Junhao","Ultra Prime","Jungle",7,"14%","57%",21,24,29,2.1,"68.5%","28.8%","19.4%",,,,,6.9,,397,"18.8%",,227,"21.1%",,0.37,0.29,0.3
"Jwei","FunPlus Phoenix","Support",4,"25%","25%",2,18,30,1.8,"76.2%","4.8%","30.0%",,,,,1.2,,163,"8.3%",,104,"9.2%",,1.85,0.53,0.41
"Kael","Anyone's Legend","Support",7,"86%","71%",5,28,110,4.1,"72.8%","3.2%","29.2%",,,,,1.1,,194,"6.8%",,135,"10.4%",,1.98,0.66,0.51
"Kanavi","Top Esports","Jungle",7,"57%","29%",30,27,48,2.9,"75.0%","28.8%","23.1%",,,,,6.8,,486,"18.0%",,254,"21.1%",,0.33,0.26,0.32
"Karis","Team WE","Middle",6,"0%","17%",25,19,13,2,"66.7%","43.9%","16.2%",,,,,7.8,,610,"27.4%",,243,"23.8%",,0.33,0.2,0.14
"knight","Bilibili Gaming","Middle",6,"100%","67%",35,7,36,10.1,"65.1%","32.1%","15.9%",,,,,9,,769,"28.4%",,329,"24.0%",,0.32,0.15,0.31
"Leave","Ninjas in Pyjamas","ADC",4,"75%","75%",25,12,21,3.8,"70.8%","38.5%","25.0%",,,,,9.1,,713,"28.2%",,326,"26.6%",,0.35,0.1,0.37
"Lele","Royal Never Give Up","Support",8,"50%","50%",6,32,72,2.4,"75.7%","5.8%","31.4%",,,,,1,,157,"7.2%",,110,"9.2%",,1.81,0.57,0.39
"Light","Weibo Gaming","ADC",7,"86%","29%",35,12,43,6.5,"63.4%","28.5%","13.8%",,,,,9.5,,739,"28.4%",,339,"25.9%",,0.36,0.09,0.41
"Linfeng","Oh My God","Middle",8,"25%","50%",24,27,36,2.2,"65.9%","26.4%","21.1%",,,,,7.7,,581,"24.5%",,245,"22.0%",,0.44,0.17,0.12
"Meiko","Invictus Gaming","Support",8,"50%","63%",5,23,79,3.7,"77.8%","4.6%","21.3%",,,,,1.1,,213,"8.2%",,116,"9.9%",,1.78,0.55,0.48
"milkyway","Royal Never Give Up","Jungle",8,"50%","50%",29,19,55,4.4,"81.6%","28.2%","18.6%",,,,,6.9,,417,"19.6%",,246,"21.0%",,0.26,0.21,0.3
"MISSING","JD Gaming","Support",8,"75%","63%",5,28,79,3,"65.6%","3.9%","35.4%",,,,,1.1,,197,"6.5%",,127,"10.0%",,2.05,0.56,0.37
"Moham","Oh My God","Support",8,"25%","38%",5,28,62,2.4,"73.6%","5.5%","21.9%",,,,,1.4,,211,"9.5%",,121,"10.9%",,1.81,0.53,0.61
"ON","Bilibili Gaming","Support",6,"100%","67%",2,12,76,6.5,"71.6%","1.8%","27.3%",,,,,1.2,,204,"7.5%",,144,"10.5%",,1.93,0.59,0.58
"Peyz","JD Gaming","ADC",8,"75%","50%",46,11,50,8.7,"75.0%","35.9%","13.9%",,,,,10.4,,872,"29.2%",,359,"27.9%",,0.41,0.13,0.36
"Photic","LNG Esports","ADC",7,"14%","57%",19,24,23,1.8,"62.7%","28.4%","20.5%",,,,,8.5,,697,"30.7%",,261,"24.9%",,0.37,0.06,0.32
"ppgod","Ninjas in Pyjamas","Support",4,"75%","50%",3,11,46,4.5,"75.4%","4.6%","22.9%",,,,,1,,152,"6.4%",,124,"10.1%",,1.76,0.53,0.38
"Rookie","Invictus Gaming","Middle",8,"50%","38%",27,19,52,4.2,"73.1%","25.0%","17.6%",,,,,8.7,,687,"26.4%",,276,"23.8%",,0.46,0.22,0.27
"Rosielove","Ultra Prime","Support",7,"14%","29%",3,29,51,1.9,"74.0%","4.1%","23.4%",,,,,1.1,,224,"10.5%",,111,"10.2%",,1.71,0.56,0.46
"Saber","Ultra Prime","Middle",7,"14%","71%",15,26,29,1.7,"60.3%","20.5%","21.0%",,,,,8.1,,490,"23.2%",,251,"22.8%",,0.4,0.25,0.27
"sasi","LGD Gaming","Top",6,"50%","33%",19,15,53,4.8,"66.1%","17.4%","15.3%",,,,,7.5,,676,"24.7%",,265,"21.8%",,0.31,0.12,0.14
"Scout","JD Gaming","Middle",8,"75%","38%",29,10,62,9.1,"71.1%","22.7%","12.7%",,,,,8.8,,763,"25.9%",,296,"23.1%",,0.31,0.14,0.18
"SeTab","ThunderTalk Gaming","Middle",8,"75%","25%",29,18,61,5,"66.7%","21.5%","17.5%",,,,,8.2,,742,"26.6%",,288,"23.0%",,0.39,0.24,0.28
"shanji","Ninjas in Pyjamas","Top",4,"75%","25%",10,8,21,3.9,"47.7%","15.4%","16.7%",,,,,7.7,,510,"20.7%",,234,"18.9%",,0.32,0.14,0.18
"Shanks","Anyone's Legend","Middle",7,"86%","71%",46,19,61,5.6,"67.7%","29.1%","19.8%",,,,,8,,677,"23.6%",,301,"23.1%",,0.21,0.07,0.2
"Shaoye","LGD Gaming","ADC",6,"50%","50%",25,25,45,2.8,"64.2%","22.9%","25.5%",,,,,8.7,,710,"25.9%",,290,"24.0%",,0.43,0.13,0.27
"sheer","FunPlus Phoenix","Top",4,"25%","0%",7,8,22,3.6,"69.0%","16.7%","13.3%",,,,,8.1,,420,"21.7%",,243,"21.8%",,0.36,0.16,0.12
"sorrow","FunPlus Phoenix","Jungle",4,"25%","75%",6,11,24,2.7,"71.4%","14.3%","18.3%",,,,,6.2,,308,"15.5%",,205,"18.0%",,0.29,0.25,0.36
"Starry","Oh My God","ADC",8,"25%","63%",24,26,42,2.5,"72.5%","26.4%","20.3%",,,,,8.8,,642,"25.6%",,279,"25.5%",,0.35,0.13,0.23
"Taeyoon","Team WE","ADC",6,"0%","67%",10,17,24,2,"59.6%","17.5%","14.5%",,,,,9.1,,641,"28.0%",,255,"24.6%",,0.42,0.15,0.33
"Tangyuan","Royal Never Give Up","Middle",8,"50%","75%",16,15,39,3.7,"53.4%","15.5%","14.7%",,,,,9.3,,541,"24.6%",,283,"23.9%",,0.47,0.23,0.33
"Tarzan","Anyone's Legend","Jungle",7,"86%","43%",38,17,77,6.8,"72.8%","24.1%","17.7%",,,,,6.5,,485,"16.6%",,259,"19.9%",,0.42,0.31,0.39
"TheShy","Invictus Gaming","Top",8,"50%","63%",17,23,46,2.7,"58.3%","15.7%","21.3%",,,,,7.7,,578,"22.2%",,232,"19.8%",,0.39,0.14,0.18
"Tian","Weibo Gaming","Jungle",7,"86%","43%",28,21,62,4.3,"73.2%","22.8%","24.1%",,,,,6.7,,395,"15.4%",,262,"20.2%",,0.41,0.34,0.39
"Tianzhen","Team WE","Jungle",6,"0%","50%",10,36,35,1.3,"78.9%","17.5%","30.8%",,,,,6,,337,"15.5%",,200,"19.8%",,0.42,0.39,0.25
"Vampire","Team WE","Support",6,"0%","17%",5,27,37,1.6,"73.7%","8.8%","23.1%",,,,,1,,156,"6.9%",,105,"10.2%",,1.8,0.53,0.53
"Wako","Ultra Prime","ADC",7,"14%","57%",15,22,31,2.1,"63.0%","20.5%","17.7%",,,,,9.2,,511,"24.5%",,281,"25.6%",,0.36,0.13,0.34
"Wei","Bilibili Gaming","Jungle",6,"100%","33%",27,8,52,9.9,"72.5%","24.8%","18.2%",,,,,6.6,,542,"20.1%",,263,"19.2%",,0.4,0.33,0.41
"Weiwei","LNG Esports","Jungle",7,"14%","57%",17,25,30,1.9,"70.1%","25.4%","21.4%",,,,,6.4,,401,"17.9%",,206,"20.3%",,0.37,0.3,0.33
"Wink","EDward Gaming","Support",7,"14%","57%",11,23,49,2.6,"75.0%","13.8%","18.0%",,,,,1.1,,235,"9.9%",,119,"11.0%",,1.77,0.52,0.4
"Xiaohao","EDward Gaming","Jungle",7,"14%","86%",29,25,30,2.4,"73.8%","36.3%","19.5%",,,,,6,,398,"16.2%",,225,"20.7%",,0.37,0.25,0.21
"Xiaohu","Weibo Gaming","Middle",7,"86%","43%",24,20,58,4.1,"66.7%","19.5%","23.0%",,,,,8,,810,"31.9%",,283,"21.7%",,0.3,0.16,0.29
"Xiaoxu","Royal Never Give Up","Top",8,"50%","75%",17,16,36,3.3,"51.5%","16.5%","15.7%",,,,,7.5,,402,"18.8%",,233,"20.7%",,0.41,0.16,0.16
"xqw","LGD Gaming","Middle",6,"50%","33%",25,24,52,3.2,"70.6%","22.9%","24.5%",,,,,8,,668,"24.3%",,275,"22.9%",,0.26,0.14,0.24
"Xun","JD Gaming","Jungle",8,"75%","50%",27,19,59,4.5,"67.2%","21.1%","24.1%",,,,,6.5,,470,"15.5%",,244,"19.1%",,0.29,0.27,0.3
"Ycx","LGD Gaming","Support",6,"50%","50%",11,22,76,4,"79.8%","10.1%","22.4%",,,,,1.3,,232,"8.4%",,137,"11.3%",,1.82,0.56,0.6
"Zdz","EDward Gaming","Top",7,"14%","29%",11,31,32,1.4,"53.8%","13.8%","24.2%",,,,,7.4,,510,"21.5%",,229,"21.1%",,0.47,0.22,0.17
"Zhuo","LNG Esports","Support",7,"14%","14%",0,28,43,1.5,"64.2%","0.0%","23.9%",,,,,1,,173,"7.7%",,87,"8.4%",,1.89,0.51,0.37
"Zika","LNG Esports","Top",7,"14%","43%",16,24,23,1.6,"58.2%","23.9%","20.5%",,,,,7.7,,506,"22.6%",,228,"21.9%",,0.33,0.16,0.15
