"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Shanks","Anyone's Legend","Middle",19,"47%","32%",63,45,70,3,"52.8%","25.0%","17.0%",,,,,9.6,,599,"24.5%",,310,"25.5%",,0.31,0.08,0.34
"Shaoye","LGD Gaming","ADC",14,"21%","64%",50,46,53,2.2,"64.4%","31.3%","18.7%",,,,,8.6,,557,"23.1%",,276,"24.0%",,0.49,0.16,0.29
"sheer","JD Gaming","Top",20,"50%","40%",55,62,95,2.4,"56.6%","20.8%","23.1%",,,,,7.4,,451,"17.4%",,242,"19.7%",,0.34,0.17,0.17
"Solokill","EDward Gaming","Top",18,"44%","44%",32,43,75,2.5,"50.7%","15.2%","19.0%",,,,,7.7,,340,"13.8%",,238,"19.4%",,0.45,0.23,0.16
"Starry","Oh My God","ADC",17,"71%","53%",91,38,118,5.5,"76.0%","33.1%","16.0%",,,,,10,,822,"31.2%",,335,"26.3%",,0.42,0.17,0.35
"Tangyuan","Royal Never Give Up","Middle",11,"27%","36%",26,24,46,3,"66.1%","23.9%","14.5%",,,,,9.6,,654,"27.1%",,302,"27.3%",,0.43,0.16,0.47
"Tangyuan","Royal Never Give Up","Support",6,"17%","83%",2,38,53,1.4,"76.4%","2.8%","34.9%",,,,,1.1,,189,"8.4%",,106,"9.1%",,1.62,0.42,0.41
"Tarzan","Weibo Gaming","Jungle",18,"67%","56%",49,47,160,4.4,"72.3%","17.0%","21.8%",,,,,6.6,,607,"23.0%",,238,"18.7%",,0.6,0.29,0.39
"Tian","Top Esports","Jungle",17,"76%","47%",67,32,131,6.2,"78.6%","26.6%","14.9%",,,,,6.6,,452,"16.7%",,254,"19.6%",,0.59,0.3,0.46
"Tianzhen","Oh My God","Jungle",17,"71%","71%",44,68,152,2.9,"71.3%","16.0%","28.7%",,,,,6,,372,"14.4%",,216,"17.1%",,0.59,0.41,0.38
"Ucal","ThunderTalk Gaming","Middle",15,"73%","67%",87,29,91,6.1,"73.6%","36.0%","16.2%",,,,,9.5,,657,"23.8%",,341,"26.3%",,0.29,0.06,0.46
"Vampire","Invictus Gaming","Support",16,"56%","63%",7,52,188,3.8,"75.3%","2.7%","23.2%",,,,,1.2,,159,"6.4%",,118,"9.5%",,2.09,0.62,0.58
"VicLa","Rare Atom","Middle",16,"63%","50%",62,39,110,4.4,"68.5%","24.7%","19.2%",,,,,9.4,,761,"29.3%",,304,"24.2%",,0.49,0.2,0.4
"Wayward","Team WE","Top",15,"33%","47%",35,55,57,1.7,"60.1%","22.9%","22.5%",,,,,8.2,,449,"19.5%",,248,"21.8%",,0.47,0.22,0.2
"Wei","Bilibili Gaming","Jungle",13,"77%","23%",26,30,121,4.9,"67.4%","11.9%","20.5%",,,,,6,,577,"20.2%",,237,"17.7%",,0.63,0.33,0.4
"Weiwei","LNG Esports","Jungle",21,"67%","48%",40,44,187,5.2,"76.7%","13.5%","20.3%",,,,,6.4,,439,"17.5%",,222,"17.8%",,0.47,0.34,0.45
"Wink","EDward Gaming","Support",18,"44%","28%",18,53,142,3,"75.8%","8.5%","23.5%",,,,,1.4,,150,"6.2%",,126,"10.3%",,2.21,0.6,0.48
"XBY","Royal Never Give Up","Jungle",2,"0%","50%",0,8,4,0.5,"66.7%","0.0%","29.6%",,,,,5.3,,252,"15.8%",,145,"16.2%",,0.49,0.25,0.29
"Xiaohao","Rare Atom","Jungle",16,"63%","63%",55,34,137,5.6,"76.5%","21.9%","16.7%",,,,,6.4,,408,"15.9%",,238,"18.9%",,0.37,0.25,0.42
"Xiaohu","Weibo Gaming","Middle",18,"67%","56%",85,39,85,4.4,"58.8%","29.4%","18.1%",,,,,9.4,,642,"24.2%",,326,"25.4%",,0.42,0.14,0.37
"Xiaolaohu","FunPlus Phoenix","Top",2,"0%","50%",4,7,3,1,"25.9%","14.8%","18.4%",,,,,8,,534,"22.2%",,247,"21.3%",,0.3,0.17,0.16
"Xiaoxu","Rare Atom","Top",16,"63%","50%",41,38,77,3.1,"47.0%","16.3%","18.7%",,,,,8.5,,448,"17.1%",,269,"21.4%",,0.37,0.11,0.17
"Xun","Bilibili Gaming","Jungle",9,"56%","56%",26,24,82,4.5,"74.5%","17.9%","22.0%",,,,,6.1,,448,"16.8%",,220,"17.3%",,0.25,0.21,0.34
"Xzz","Royal Never Give Up","Jungle",2,"100%","100%",4,9,14,2,"60.0%","13.3%","25.0%",,,,,2.5,,126,"5.7%",,140,"11.6%",,1.22,0.37,0.34
"Xzz","Royal Never Give Up","Middle",6,"17%","33%",16,20,30,2.3,"63.9%","22.2%","18.3%",,,,,9.1,,524,"23.5%",,290,"24.9%",,0.38,0.14,0.32
"Yagao","JD Gaming","Middle",20,"50%","55%",56,48,86,3,"53.6%","21.1%","17.9%",,,,,9.3,,597,"22.8%",,294,"24.0%",,0.42,0.11,0.35
"Yanxiang","Team WE","Jungle",15,"33%","67%",27,43,92,2.8,"77.8%","17.6%","17.6%",,,,,6.1,,448,"19.1%",,205,"18.0%",,0.49,0.3,0.35
"YSKM","Invictus Gaming","Top",16,"56%","38%",41,54,97,2.6,"53.3%","15.8%","24.1%",,,,,7.5,,467,"19.0%",,245,"20.2%",,0.32,0.13,0.18
"Yuekai","Ultra Prime","Middle",16,"38%","56%",69,28,74,5.1,"63.8%","30.8%","13.3%",,,,,9.8,,669,"27.1%",,332,"26.9%",,0.44,0.12,0.31
"Zdz","FunPlus Phoenix","Top",17,"41%","41%",46,62,108,2.5,"58.1%","17.4%","19.5%",,,,,7.4,,477,"18.3%",,248,"20.5%",,0.37,0.21,0.22
"Zhuo","Ninjas in Pyjamas","Support",19,"16%","42%",13,66,122,2,"61.6%","5.9%","19.8%",,,,,1.9,,164,"6.0%",,110,"9.5%",,1.86,0.52,0.49
"Zika","LNG Esports","Top",21,"67%","48%",73,48,116,3.9,"63.9%","24.7%","22.1%",,,,,7.8,,487,"19.1%",,261,"20.9%",,0.3,0.15,0.23
